id,pdb_id,interaction_energy,backbone_hbond,sidechain_hbond,vdw,electrostatics,solvation_polar,solvation_hydrophobic,vdw_clashes,entropy_sidechain,entropy_mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional_clash,backbone_clash,helix_dipole,water_bridge,disulfide,electrostatic_kon,partial_covalent_bonds,energy_ionisation,entropy_complex,number_of_residues,interface_residues,interface_residues_clashing,interface_residues_vdw_clashing,interface_residues_bb_clashing
15,1CZ8_1,-8.07536,-7.19072,-6.7573,-20.9818,-0.194606,27.7592,-26.1125,7.71847,9.39434,6.70804,0.0,0.0,0.0,1.04537,2.76377,0.0,0.0,-1.77636e-15,-0.0893483,0.0,0.625496,2.384,327,41,2,2,0
16,1DVF_1,-5.59287,-2.93566,-8.05432,-14.3414,-1.94394,23.8109,-15.2483,1.15403,6.52708,5.71073,0.0,0.0,0.0,0.546201,2.25608,0.0,0.0,-1.77636e-15,-0.864241,0.0,0.0460417,2.384,451,46,0,0,0
17,1E4X_1,-10.818,-2.43551,-7.57274,-10.5425,-1.23127,15.9467,-12.7862,0.735986,3.06152,3.25509,0.0,0.0,0.0,0.100068,1.89335,0.0,0.0,0.0,0.0361341,0.0,0.61455,2.384,233,25,0,0,0
18,1E4X_2,-9.13034,-2.46269,-6.94949,-10.2648,-1.52584,16.0002,-12.3819,1.17956,2.91305,3.64396,0.0,0.0,0.0,0.120628,1.86967,0.0,0.0,0.0,-0.0159819,0.0,0.612927,2.384,233,26,0,0,0
19,1E6J_1,-9.3049,-2.71303,-3.55268,-12.372,-1.04688,17.1234,-16.2284,3.56289,2.55633,3.37499,0.0,0.0,0.0,0.102081,2.40214,0.1059,0.0,0.0,-0.217405,0.0,5.55112e-17,2.384,439,31,0,0,0
20,1EGJ_1,2.91489,-2.07538,-4.01436,-14.205,-2.98263,21.0162,-17.2911,7.47116,7.87716,5.86555,0.0,0.0,0.0,1.69155,3.52672,0.0,0.0,0.0,-0.545701,0.0,0.107508,2.384,334,32,2,2,0
21,1EJO_1,-0.863602,-1.83167,-5.07223,-14.3574,-3.38509,24.578,-16.6264,3.3048,5.28159,6.56679,0.0,0.0,0.0,0.609189,2.20894,0.0,0.0,0.0,-0.438616,0.0,0.507429,2.384,245,38,1,1,0
22,1EO8_1,-4.27682,-0.304055,-4.35235,-14.641,-4.68549,21.5256,-18.8127,7.56511,4.7673,3.43484,0.0,0.0,0.0,1.83209,3.68676,0.0533954,0.0,-3.55271e-15,-0.659556,0.0,-1.11022e-16,2.384,546,44,2,1,1
23,1F58_1,-8.3162,-4.3928,-2.21216,-14.099,-4.40945,19.3989,-16.9588,1.15797,6.47861,6.89473,0.0,0.0,0.0,0.574969,4.33854,0.0,0.0,0.0,-0.944712,0.0,0.195576,2.384,252,33,2,0,2
24,1F90_1,-8.88242,-0.810873,-5.03798,-8.62003,-1.87868,10.3534,-12.6059,3.10719,5.20241,1.35394,0.0,0.0,0.0,0.246781,1.61782,-0.165892,0.0,0.0,-0.0268111,0.0,0.0,2.384,241,30,0,0,0
25,1FBI_1,1.20472,-3.26736,-9.28551,-16.6693,-4.96305,30.5479,-17.009,8.47995,7.50606,5.40419,0.0,0.0,0.0,1.49149,5.48643,-0.0172196,0.0,0.0,-1.1446,0.0,0.131165,2.384,360,40,4,4,0
26,1FDL_1,-11.0276,-3.14041,-10.0005,-10.7089,-1.09459,16.773,-11.5418,2.6744,3.37892,2.45224,0.0,0.0,0.0,0.146667,1.67091,-0.174853,0.0,0.0,0.208188,0.0,5.55112e-17,2.384,354,29,0,0,0
27,1FE8_1,-10.3809,-2.75807,-4.3225,-17.5874,-0.945624,23.7862,-21.3263,3.4881,5.9873,2.68048,0.0,0.0,0.0,0.984496,4.7342,-0.213933,0.0,0.0,-0.220901,0.0,0.0672946,2.384,415,43,1,1,0
28,1FJ1_1,4.53934,-2.61877,-4.70484,-16.3218,0.706657,26.6208,-18.3981,7.3139,5.58189,3.89507,0.0,0.0,0.0,2.06585,5.92075,0.0,0.0,0.0,0.333983,0.0,0.0646493,2.384,477,48,1,0,1
29,1FNS_1,-11.039,-2.63877,-5.74432,-13.4345,-5.06485,20.6327,-14.6792,0.993839,7.64474,3.07862,0.0,0.0,0.0,0.134863,4.17926,-0.146028,0.0,0.0,-1.81624,0.0,0.0,2.384,427,36,0,0,0
30,1FPT_1,4.47495,-2.62654,-3.28023,-10.7838,-3.19983,22.3458,-11.6232,2.50143,5.39037,5.37875,0.0,0.0,0.0,0.860911,2.09367,0.0,0.0,0.0,-0.539249,0.0,0.0505504,2.384,245,28,0,0,0
31,1FRG_1,-7.01383,-1.01002,-4.7264,-11.6641,-3.44915,19.0345,-13.18,0.972836,3.78642,2.96321,0.0,0.0,0.0,0.335667,4.3982,0.0,0.0,0.0,-0.167286,0.0,0.0904001,2.384,243,25,1,0,1
32,1FSK_1,10.3691,-1.46565,-2.80224,-16.5673,-4.64684,29.3099,-18.489,12.2868,6.04338,4.74556,0.0,0.0,0.0,2.47438,9.3359,0.0,0.0,0.0,-0.551,0.0,0.0310695,2.384,386,40,5,2,3
33,1G7H_1,-3.75694,-2.368,-8.18365,-10.4726,-1.32714,18.5065,-10.6079,4.72346,3.00443,2.31637,0.0,0.0,0.0,0.414247,2.75032,0.0585693,0.0,-5.32907e-15,0.178784,0.0,0.0,2.384,352,33,1,1,0
34,1G7I_1,-6.74449,-3.17933,-9.6947,-11.7189,-1.47841,20.2855,-11.8535,4.35721,3.35082,2.92652,0.0,0.0,0.0,0.171672,2.14093,-0.0796169,0.0,-3.55271e-15,0.159386,0.0,0.00879597,2.384,352,34,0,0,0
35,1G7J_1,-6.64494,-4.32392,-8.92397,-11.1556,-1.58653,19.6385,-11.0299,2.39821,3.46665,4.72116,0.0,0.0,0.0,0.124321,2.15486,-0.188463,0.0,0.0,0.16426,0.0,0.0503016,2.384,352,34,0,0,0
36,1G7L_1,-6.39248,-3.34279,-8.47392,-10.9484,-1.65187,19.6462,-10.8283,3.43328,2.65438,2.99087,0.0,0.0,0.0,0.21391,2.4942,-0.21798,0.0,0.0,0.132123,0.0,0.0,2.384,350,34,0,0,0
37,1G7M_1,-7.78161,-3.54519,-8.74858,-10.5353,-1.38726,18.4725,-10.7376,2.61789,3.31211,2.55486,0.0,0.0,0.0,0.202505,1.99486,-0.134513,0.0,4.44089e-16,0.146948,0.0,5.55112e-17,2.384,352,35,0,0,0
38,1G9M_1,-9.61636,-2.97925,-2.54049,-11.0804,-1.67747,11.8258,-16.7723,2.86511,7.70241,3.40911,0.0,0.0,0.0,0.515509,3.74055,0.0,0.0,0.0,-0.900678,0.0,0.0162924,2.384,650,29,1,0,1
39,1GC1_1,-4.60843,-2.3499,-2.64394,-10.9815,-1.87256,14.7164,-15.261,3.24713,8.58523,2.91039,0.0,0.0,0.0,0.195117,3.83931,-0.140356,0.0,0.0,-1.03088,0.0,0.0173918,2.384,643,28,1,0,1
40,1GGI_1,-5.81977,-1.59735,-1.83555,-11.4604,-3.74075,15.7931,-16.2013,2.90678,5.70762,4.00388,0.0,0.0,0.0,1.13604,4.63028,0.0,0.0,0.0,-0.676332,0.0,0.14448,2.384,242,29,2,0,2
41,1H0D_1,-14.1153,-4.68786,-4.46593,-14.232,-0.776844,16.1991,-18.6527,2.607,4.2244,4.78064,0.0,0.0,-4.44089e-16,0.858265,2.25126,0.00637552,0.0,-1.77636e-15,0.0242411,0.0,0.0,2.384,356,34,0,0,0
42,1HI6_1,28.8665,-1.77803,-1.69696,-16.2306,-2.97483,26.6298,-21.5232,34.2989,5.80255,4.52639,0.0,0.0,0.0,2.25033,8.53576,0.0,0.0,0.0,-0.506644,0.0,0.0686599,2.384,237,36,11,10,3
43,1I8K_1,-12.245,-6.42477,-7.28149,-13.9997,-2.94369,22.5059,-16.7161,1.74478,6.38488,4.65393,0.0,0.0,0.0,0.63861,2.95841,0.0,0.0,0.0,-0.807453,0.0,0.0,2.384,235,28,0,0,0
44,1I9R_1,13.1739,-1.96956,-5.27715,-13.0774,-1.55159,23.9943,-13.0454,10.7789,5.20808,6.14146,0.0,0.0,0.0,2.09222,3.7404,0.0,0.0,-4.44089e-16,-0.145044,0.0,0.0250385,2.384,375,45,4,4,0
45,1IAI_2,-0.623226,-1.61799,-3.72066,-15.4008,-0.55943,20.9904,-17.4881,6.64832,5.88378,3.64109,0.0,0.0,0.0,1.04829,2.14359,0.0,0.0,3.55271e-15,-0.0665098,0.0,0.0183183,2.384,663,56,2,2,0
46,1IC4_1,-9.4695,-4.25714,-13.3209,-16.9379,-1.10089,27.7613,-17.3831,4.83435,6.73639,4.32903,0.0,0.0,0.0,0.213515,3.09871,0.0778771,0.0,-3.55271e-15,-0.433126,0.0,0.0110312,2.384,352,46,1,1,0
47,1IC5_1,-9.65829,-3.36785,-10.1036,-17.2202,-1.02651,28.7661,-17.7786,2.59819,5.50713,2.9014,0.0,0.0,0.0,0.427957,3.62,0.0092099,0.0,0.0,-0.382748,0.0,0.0112091,2.384,352,45,0,0,0
48,1IC7_1,-11.002,-3.70488,-10.2684,-16.3562,-0.00599878,25.9848,-17.1347,0.890069,5.90559,3.57793,0.0,0.0,0.0,0.354725,3.52584,-0.0663194,0.0,0.0,-0.189777,0.0,0.0110824,2.384,352,42,0,0,0
49,1IFH_1,0.238465,-0.417812,-3.7951,-10.9095,-3.673,18.9947,-11.9446,4.09983,3.92549,3.52258,0.0,0.0,0.0,0.653337,3.80666,0.0,0.0,0.0,-0.217444,0.0,0.0,2.384,242,22,2,1,1
50,1IKF_1,1.47291,-1.19183,-0.15823,-1.00385,0.0688331,1.91052,-1.21085,0.0266661,0.591549,2.38522,0.0,0.0,0.0,0.000757519,0.721743,0.0,0.0,0.0,0.0541371,0.0,0.0,2.384,239,4,0,0,0
51,1IQD_1,-9.07507,-2.93203,-5.02006,-20.2904,-6.1227,27.9509,-26.0966,10.763,8.40525,4.38129,0.0,0.0,0.0,1.2616,2.57225,0.0,0.0,0.0,-1.43065,0.0,0.0553594,2.384,383,52,5,5,0
52,1J1O_1,-8.143,-3.78269,-9.63981,-18.2908,-2.61,31.8177,-18.8265,3.45622,6.20992,3.62701,0.0,0.0,0.0,0.404995,3.87623,0.0681184,0.0,1.77636e-15,-0.588744,0.0,0.0115316,2.384,352,49,0,0,0
53,1J1P_1,-7.71422,-4.08151,-9.98617,-18.6961,-2.37769,32.363,-18.9687,4.16891,6.31595,3.7589,0.0,0.0,0.0,0.299613,3.991,0.0699401,0.0,-1.77636e-15,-0.592288,0.0,0.0119013,2.384,352,46,0,0,0
54,1J1X_1,-8.1105,-3.70897,-9.48958,-18.6173,-2.62862,31.7623,-19.0267,3.56429,7.02241,3.08923,0.0,0.0,0.0,0.473018,4.04599,0.0504432,0.0,-7.10543e-15,-0.612325,0.0,0.0113319,2.384,352,46,0,0,0
55,1JHL_1,1.38167,-1.81876,-0.932812,-10.7838,-2.71183,19.3863,-11.1696,3.24965,3.88877,2.40329,0.0,0.0,0.0,0.500241,1.91349,-0.0858584,0.0,-3.55271e-15,-0.543925,0.0,-1.38778e-17,2.384,353,35,0,0,0
56,1JPS_1,-15.2025,-8.88436,-14.8935,-18.2877,-2.50424,31.7013,-20.7057,3.53991,8.76509,6.31412,0.0,0.0,0.0,0.442442,2.81881,0.0,0.0,0.0,-0.70432,0.0,0.0144404,2.384,434,55,0,0,0
57,1JRH_1,-10.8905,-6.34437,-6.62699,-14.7911,-2.75017,22.3661,-16.894,2.31519,6.53272,5.00344,0.0,0.0,0.0,0.998361,2.3642,0.0,0.0,8.88178e-16,-0.790014,0.0,0.0904005,2.384,326,40,0,0,0
58,1KB5_1,14.5795,-0.257525,-4.88589,-18.7857,-3.94972,32.4311,-21.0143,16.6567,9.99329,3.68348,0.0,0.0,0.0,1.41986,7.00524,0.0,0.0,0.0,-0.711841,0.0,-2.77556e-17,2.384,467,60,6,5,2
59,1KC5_1,-8.84397,-1.88601,-1.75569,-9.15336,-1.06468,11.8753,-12.7487,0.399218,2.7752,2.46439,0.0,0.0,0.0,0.424079,1.41425,0.0,0.0,0.0,-0.173695,0.0,0.0,2.384,234,26,0,0,0
60,1KCR_1,18.3797,-2.02175,-2.18875,-15.961,0.589875,22.8246,-20.3287,24.0197,5.83118,3.62869,0.0,0.0,0.0,1.77687,6.17574,0.0,0.0,0.0,0.208942,0.0,6.93889e-18,2.384,241,35,9,9,1
61,1KCS_1,-8.9138,-2.42348,-2.18816,-8.28643,-0.338904,9.95835,-11.4726,0.796268,2.43105,2.37099,0.0,0.0,0.0,0.293022,1.62952,0.0,0.0,0.0,-0.0539089,0.0,0.0,2.384,233,24,0,0,0
62,1KEN_1,10.6011,-0.549521,-1.61221,-10.3224,0.555291,18.0894,-12.1911,7.46446,4.80259,2.81364,0.0,0.0,0.0,1.45695,2.66458,0.0,0.0,-3.55271e-15,0.0940132,0.0,0.0,2.384,550,37,1,1,0
63,1KIP_1,-9.21311,-3.29058,-8.31432,-11.1521,-1.57019,17.9875,-11.8899,2.76763,3.52903,2.39589,0.0,0.0,0.0,0.228159,1.85096,-0.0708748,0.0,-3.55271e-15,0.166719,0.0,0.0,2.384,352,33,0,0,0
64,1KIQ_1,-4.86787,-2.57187,-7.10969,-11.1802,-1.48512,18.3457,-12.1048,3.66469,3.67922,3.51149,0.0,0.0,0.0,0.149003,2.43504,0.108585,0.0,-1.77636e-15,0.125208,0.0,5.55112e-17,2.384,352,32,0,0,0
65,1KIR_1,-2.82902,-3.19121,-7.83695,-11.4782,-1.02728,20.7609,-11.6658,4.06469,3.6954,3.67354,0.0,0.0,0.0,0.126806,1.89781,-0.184941,0.0,-1.77636e-15,0.200093,0.0,0.0339839,2.384,352,34,1,1,0
66,1KTR_1,-5.23766,-2.31336,-3.35229,-7.63611,-4.01443,14.3028,-8.30336,1.34401,2.52982,1.68803,0.0,0.0,0.0,0.352201,0.610214,0.0,0.0,0.0,-0.54185,0.0,0.706864,2.384,234,23,0,0,0
67,1LK3_1,-5.42629,-4.29477,-9.97059,-16.1888,-2.32008,28.1948,-17.053,3.53523,9.92366,3.14984,0.0,0.0,0.0,0.24003,5.06869,0.142099,0.0,8.88178e-16,-0.788779,0.0,0.00397834,2.384,365,42,0,0,0
68,1MHP_1,15.7945,-1.6171,-4.70132,-15.7351,0.362371,27.5161,-16.0543,13.2473,5.87835,4.13385,0.0,0.0,0.0,2.10313,6.07835,0.0634655,0.0,0.0,0.173906,0.0,0.42379,2.384,419,42,6,5,1
69,1MLC_1,4.61897,-0.870461,-3.07743,-13.7866,-4.65529,22.5883,-13.9158,7.53073,5.02291,5.20213,0.0,0.0,0.0,1.11916,2.88667,0.0,0.0,5.32907e-15,-0.538668,0.0,1.11022e-16,2.384,355,35,3,3,0
70,1MPA_1,1.22608,-3.88773,-5.13084,-11.0446,0.450546,20.0603,-11.6705,4.61948,3.32425,3.10571,0.0,0.0,0.0,1.12461,1.97816,0.0,0.0,0.0,0.124394,0.0,0.150435,2.384,242,29,0,0,0
71,1MVU_1,-9.01526,-3.12317,-3.21001,-8.99457,-1.29514,11.0626,-11.6337,2.64955,3.50426,1.75851,0.0,0.0,0.0,0.138275,1.49669,0.280731,0.0,0.0,-0.152623,0.0,0.0,2.384,246,26,0,0,0
72,1N0X_1,-5.00716,-0.88536,-3.49986,-10.32,-1.87776,15.7089,-13.0239,1.07398,4.58075,3.2652,0.0,0.0,0.0,0.24363,2.12673,0.0,0.0,0.0,-0.443689,0.0,0.171027,2.384,258,29,0,0,0
73,1N64_1,-4.77522,-4.56046,-2.95042,-13.2921,-0.089914,16.5613,-18.0188,6.09748,5.2828,5.49586,0.0,0.0,0.0,0.785793,2.96626,0.0,0.0,0.0,-0.0867564,0.0,0.0,2.384,249,31,1,1,0
74,1N8Z_1,0.0615296,-0.948636,-3.61069,-12.6558,-4.61093,20.514,-15.5648,7.3847,6.83421,2.83437,0.0,0.0,0.0,0.774346,1.25602,0.0,0.0,-1.42109e-14,-0.895033,0.0,0.00581655,2.384,837,41,2,2,0
75,1NAK_1,1.77925,-1.3352,-1.57066,-11.0807,-0.469767,17.4777,-14.8222,6.72531,4.72523,2.51596,0.0,0.0,0.0,0.438568,7.04801,0.0,0.0,0.0,-0.860832,0.0,0.0358959,2.384,242,26,5,4,2
76,1NBY_1,4.80368,-3.60298,-6.50065,-17.2324,-1.51935,29.5473,-17.4971,10.0374,5.75695,4.87561,0.0,0.0,0.0,1.25169,4.13731,0.0364882,0.0,-1.77636e-15,-0.364375,0.0,0.0150709,2.384,354,46,1,1,0
77,1NCA_1,-8.35462,-4.1425,-6.53855,-18.2918,-1.75935,27.8816,-21.6846,4.5171,7.3798,4.39807,0.0,0.0,0.0,0.424375,3.55241,0.0,0.0,-7.10543e-15,-0.578853,0.0,0.0401156,2.384,620,59,0,0,0
78,1NCB_1,-11.1186,-4.53073,-8.64403,-17.0916,-0.873849,26.6797,-20.2868,2.64823,7.52748,2.97783,0.0,0.0,0.0,0.932724,3.33917,0.0,0.0,-7.10543e-15,-0.469966,0.0,0.0123855,2.384,620,54,0,0,0
79,1NDG_1,-3.58374,-2.93927,-10.7883,-19.4079,-2.88138,33.4269,-20.096,6.21397,6.78545,5.17901,0.0,0.0,0.0,1.23631,4.92888,0.0250523,0.0,-3.55271e-15,-0.353143,0.0,0.0156444,2.384,354,48,2,2,0
80,1NDM_1,14.5121,-3.28142,-7.49661,-17.8152,-2.3507,33.9936,-17.1114,15.9,6.89833,3.85386,0.0,0.0,0.0,2.40117,4.00823,0.0379306,0.0,0.0,-0.520249,0.0,0.00276697,2.384,354,48,7,7,0
81,1NFD_1,6.63231,-2.13132,-2.01041,-12.8729,-3.58322,21.6052,-14.2409,8.77108,7.69602,3.19354,0.0,0.0,0.0,0.95712,3.66117,0.0,0.0,1.77636e-15,-0.814051,0.0,0.0622243,2.384,479,38,2,2,0
82,1NL0_1,-9.10035,-1.62483,-1.90485,-11.0613,-1.03187,11.268,-16.4876,2.68061,5.63186,3.36674,0.0,0.0,0.0,0.194368,1.45045,0.0,0.0,4.44089e-16,-0.139647,0.0,0.00813141,2.384,279,29,0,0,0
83,1NMA_1,-3.69893,-4.05764,-5.41357,-12.4886,-1.10815,19.3779,-14.2551,2.09898,6.06227,5.80562,0.0,0.0,0.0,0.605733,1.84433,0.0,0.0,3.55271e-15,-0.32639,0.0,0.0,2.384,611,41,0,0,0
84,1NMB_1,-3.2042,-3.14797,-3.66878,-12.0771,-0.859354,17.1027,-14.224,4.4683,4.21208,4.73147,0.0,0.0,0.0,0.491912,1.87952,0.0,0.0,-3.55271e-15,-0.233412,0.0,0.0,2.384,621,40,0,0,0
85,1NMC_1,-7.31282,-2.79661,-5.39878,-11.1793,-1.00328,16.4219,-13.1306,0.611985,4.64696,4.57454,0.0,0.0,0.0,0.255415,1.76224,0.0,0.0,-3.55271e-15,-0.315022,0.0,1.11022e-16,2.384,621,40,0,0,0
86,1NSN_1,9.9293,-0.681512,-4.67737,-12.8826,-1.16339,22.8634,-15.032,9.60685,9.07399,1.85053,0.0,0.0,0.0,0.647852,2.70396,0.0857928,0.0,0.0,-0.214227,0.0,0.452014,2.384,368,57,4,4,0
87,1OAK_1,-4.95039,-2.64388,-4.12284,-13.5871,-5.16604,22.2445,-14.5729,2.89117,8.01452,3.30441,0.0,0.0,0.0,0.836473,4.89506,-0.254801,0.0,-1.77636e-15,-1.89386,0.0,0.0,2.384,427,36,0,0,0
88,1OAZ_1,7.8341,7.10543e-15,-0.0952545,-12.3304,1.01542,17.8156,-14.5669,5.92385,3.8063,5.10684,0.0,0.0,0.0,1.04895,2.0363,-0.029635,0.0,0.0,0.139333,0.0,-6.245e-17,2.384,351,47,1,1,0
89,1OB1_1,8.29506,-0.32016,-3.08372,-13.6505,-2.35691,22.0338,-15.7237,8.88674,6.32505,4.79165,0.0,0.0,0.0,1.76608,3.91761,0.0,0.0,0.0,-0.40687,0.0,0.0336396,2.384,327,35,1,1,0
90,1ORQ_1,-6.17612,-2.686,-1.66949,-11.5485,-1.94243,14.7605,-15.7229,6.17204,5.22396,2.18132,0.0,0.0,0.0,0.18116,5.12668,-0.738648,0.0,0.0,-0.387065,0.0,-5.55112e-17,2.384,451,38,1,0,1
91,1ORS_1,-6.45847,-3.27407,-1.60975,-8.86167,-1.47573,12.9147,-10.3877,2.73609,2.93535,0.789901,0.0,0.0,0.0,0.0642749,3.22534,0.00137523,0.0,0.0,-0.291209,0.0,-1.38778e-17,2.384,360,24,1,1,0
92,1OSP_1,-2.23979,-3.17277,-4.6303,-13.7731,-1.87972,22.8871,-15.9553,3.19944,7.38674,3.66627,0.0,0.0,0.0,0.161119,2.45611,0.0,0.0,0.0,-0.129272,0.0,0.0,2.384,480,39,0,0,0
93,1P2C_1,-0.837565,-1.91759,-2.9589,-14.3475,-5.10706,22.4858,-15.0661,5.59788,4.79617,5.92569,0.0,0.0,0.0,0.424783,2.87753,0.0,0.0,1.77636e-15,-0.670704,0.0,1.11022e-16,2.384,355,38,2,2,0
94,1P4B_1,-9.23583,-1.01125,-0.960744,-11.9231,-4.24813,13.7144,-17.3895,2.7959,6.36567,3.35068,0.0,0.0,0.0,0.479328,2.58898,-0.113208,0.0,0.0,-0.422178,0.0,0.126367,2.384,237,29,1,1,0
95,1PG7_4,-6.70385,-2.00971,-6.09251,-19.558,-5.70971,28.779,-22.6399,9.55221,7.09594,3.37438,0.0,0.0,0.0,1.07099,2.70963,0.0,0.0,-3.55271e-15,-0.758963,0.0,0.19253,2.384,663,60,1,1,0
96,1PKQ_1,20.1993,-3.69444,-2.65451,-15.9623,-6.23683,29.1731,-15.0552,17.6252,7.90973,6.86886,0.0,0.0,0.0,3.40878,3.72363,0.0,0.0,-1.77636e-15,-1.22184,0.0,0.038742,2.384,352,45,8,8,0
97,1PZ5_1,-5.58122,-1.46881,-4.03938,-12.9177,0.0948672,17.0425,-16.1982,3.15002,4.25543,3.91728,0.0,0.0,0.0,0.293416,4.73857,0.0,0.0,0.0,0.12619,0.0,0.163142,2.384,242,29,0,0,0
98,1QFU_1,-11.0702,-1.12682,-4.42917,-15.511,-3.52663,21.8017,-21.539,2.9872,5.44284,3.7205,0.0,0.0,0.0,1.39193,2.49994,0.0,0.0,1.77636e-15,-0.309064,0.0,0.0273334,2.384,554,50,0,0,0
99,1QFW_1,5.15177,-0.776046,-0.846977,-11.7224,-1.45859,15.054,-14.5046,10.2272,6.52911,2.42731,0.0,0.0,0.0,0.456612,1.94969,0.0,0.0,3.55271e-15,-0.233771,0.0,0.0,2.384,313,34,3,3,0
100,1QFW_2,5.3739,-2.16646,-4.44902,-13.1782,-2.52865,20.8379,-14.9067,9.74681,5.54199,4.71805,0.0,0.0,0.0,2.10881,1.25067,0.0,0.0,0.0,-0.397038,0.0,0.0465163,2.384,340,39,4,4,0
101,1QGC_1,-2.61094,-0.209663,-5.13842,-8.82785,-2.18391,13.6361,-10.3066,3.02189,4.42874,2.86296,0.0,0.0,0.0,0.426825,0.635322,0.0,0.0,0.0,-0.418316,0.0,0.0972777,2.384,257,33,0,0,0
102,1QKZ_1,-3.4028,-4.02243,-2.53842,-11.3577,-0.238315,16.9021,-13.6947,1.03037,3.6266,6.66888,0.0,0.0,0.0,0.272353,2.13991,0.0,0.0,0.0,-0.0633603,0.0,0.011776,2.384,243,26,0,0,0
103,1QNZ_1,10.7233,-1.45839,-1.64672,-14.3881,-2.802,23.9749,-16.7169,9.57946,7.97996,6.14116,0.0,0.0,0.0,1.133,1.63509,0.0,0.0,0.0,-1.2142,0.0,0.141183,2.384,249,35,2,2,0
