pdb	no_motifs	conn_res_paratope	conn_res_epitope	energy	hfr1	hfr2	hfr3	hfr4	lfr1	lfr2	lfr3	lfr4	cdrh1	cdrh2	cdrh3	cdrl1	cdrl2	cdrl3	avg_len_para	avg_len_epi
1F90_1	5	22	18	-8.88242	0	0	0	0	0	0	0	0	1	1	1	1	0	1	4.4	3.6
1FBI_1	6	26	41	1.20472	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	6.833333333333333
1FDL_1	8	17	29	-11.0276	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.125	3.625
1FE8_1	9	26	42	-10.3809	1	0	0	0	0	1	1	0	1	1	1	1	1	1	2.888888888888889	4.666666666666667
1FJ1_1	9	26	40	4.53934	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.444444444444445
1FNS_1	4	22	20	-11.039	0	0	0	0	0	0	0	0	0	1	1	1	0	1	5.5	5.0
1FPT_1	6	27	19	4.47495	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4.5	3.1666666666666665
1FRG_1	4	28	15	-7.01383	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7.0	3.75
1FSK_1	6	26	33	10.3691	0	0	1	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	5.5
1G7H_1	8	18	30	-3.75694	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	3.75
1G7I_1	8	18	32	-6.74449	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.0
1G7J_1	8	18	32	-6.64494	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.0
1G7L_1	8	18	32	-6.39248	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.0
1G7M_1	8	18	30	-7.78161	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	3.75
1G9M_1	3	23	21	-9.61636	0	0	0	0	0	0	0	0	0	1	1	0	0	1	7.666666666666667	7.0
1GC1_1	3	25	19	-4.60843	0	0	0	0	0	0	0	0	0	1	1	0	0	1	8.333333333333334	6.333333333333333
1GGI_1	8	21	21	-5.81977	0	1	0	0	0	1	0	0	1	1	1	1	1	1	2.625	2.625
1H0D_1	5	26	28	-14.1153	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.2	5.6
1HI6_1	8	29	31	28.8665	0	0	1	0	0	1	0	0	1	1	1	1	1	1	3.625	3.875
1I8K_1	6	23	21	-12.245	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3.8333333333333335	3.5
1I9R_1	5	25	37	13.1739	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.0	7.4
1IAI_2	7	24	86	-0.623226	1	0	0	0	0	0	1	0	1	1	1	1	0	1	3.4285714285714284	12.285714285714286
1IC4_1	8	24	41	-9.4695	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.125
1IC5_1	8	24	42	-9.65829	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.25
1IC7_1	8	24	39	-11.002	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	4.875
1IFH_1	4	21	14	0.238465	0	0	0	0	0	0	0	0	0	1	1	1	0	1	5.25	3.5
1IKF_1	1	11	2	1.47291	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11.0	2.0
1IQD_1	10	39	39	-9.07507	1	1	1	0	0	1	0	0	1	1	1	1	1	1	3.9	3.9
1J1O_1	9	26	43	-8.143	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.777777777777778
1J1P_1	9	27	46	-7.71422	1	0	1	0	0	1	0	0	1	1	1	1	1	1	3.0	5.111111111111111
1J1X_1	9	26	43	-8.1105	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.777777777777778
1JHL_1	5	17	24	1.38167	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3.4	4.8
1JPS_1	7	27	36	-15.2025	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.857142857142857	5.142857142857143
1JRH_1	5	26	29	-10.8905	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.2	5.8
1KB5_1	7	28	85	14.5795	1	0	0	0	0	0	0	0	1	1	1	1	1	1	4.0	12.142857142857142
1KC5_1	5	19	18	-8.84397	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3.8	3.6
1KCR_1	8	25	31	18.3797	0	0	0	0	1	1	0	0	1	1	1	1	1	1	3.125	3.875
1KCS_1	5	18	16	-8.9138	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3.6	3.2
1KEN_1	6	20	27	10.6011	0	0	0	0	0	1	1	0	1	0	1	1	1	0	3.3333333333333335	4.5
1KIP_1	8	18	32	-9.21311	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.0
1KIQ_1	8	18	32	-4.86787	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.0
1KIR_1	8	18	33	-2.82902	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	4.125
1KTR_1	7	22	13	-5.23766	0	0	1	0	0	1	0	0	1	1	1	1	0	1	3.142857142857143	1.8571428571428572
1LK3_1	8	26	34	-5.42629	0	1	0	0	1	0	0	0	1	1	1	1	1	1	3.25	4.25
1MHP_1	10	31	34	15.7945	1	1	1	0	0	0	1	0	1	1	1	1	1	1	3.1	3.4
1MLC_1	7	23	35	4.61897	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.2857142857142856	5.0
1MPA_1	7	25	22	1.22608	0	1	1	0	0	0	0	0	1	1	1	1	0	1	3.5714285714285716	3.142857142857143
1MVU_1	6	27	17	-9.01526	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4.5	2.8333333333333335
1N0X_1	5	27	21	-5.00716	0	0	0	0	1	0	0	0	0	1	1	1	0	1	5.4	4.2
1N64_1	7	29	27	-4.77522	1	1	0	0	0	0	0	0	1	1	1	1	0	1	4.142857142857143	3.857142857142857
1N8Z_1	7	24	29	0.0615296	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.4285714285714284	4.142857142857143
1NAK_1	8	18	25	1.77925	0	1	0	0	0	1	0	0	1	1	1	1	1	1	2.25	3.125
1NBY_1	8	25	44	4.80368	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.125	5.5
1NCA_1	7	30	44	-8.35462	1	0	0	0	0	1	0	0	1	1	1	0	1	1	4.285714285714286	6.285714285714286
1NCB_1	7	27	43	-11.1186	1	0	0	0	0	1	0	0	1	1	1	0	1	1	3.857142857142857	6.142857142857143
1NDG_1	9	25	46	-3.58374	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.7777777777777777	5.111111111111111
1NDM_1	9	26	44	14.5121	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.888888888888889
1NFD_1	7	26	29	6.63231	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.7142857142857144	4.142857142857143
1NL0_1	6	26	19	-9.10035	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	3.1666666666666665
1NMA_1	5	26	34	-3.69893	0	0	0	0	0	0	0	0	0	1	1	1	1	1	5.2	6.8
1NMB_1	5	22	32	-3.2042	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4.4	6.4
1NMC_1	6	23	33	-7.31282	0	0	0	0	1	0	0	0	0	1	1	1	1	1	3.8333333333333335	5.5
1NSN_1	8	22	33	9.9293	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.75	4.125
1OAK_1	4	24	20	-4.95039	0	0	0	0	0	0	0	0	0	1	1	1	0	1	6.0	5.0
1OAZ_1	7	30	36	7.8341	1	0	1	0	0	0	0	0	1	1	1	1	1	0	4.285714285714286	5.142857142857143
1OB1_1	6	25	27	8.29506	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.166666666666667	4.5
1ORQ_1	7	23	29	-6.17612	1	0	1	0	0	0	0	0	1	1	1	1	0	1	3.2857142857142856	4.142857142857143
1ORS_1	6	15	25	-6.45847	1	0	0	0	0	0	0	0	1	1	1	1	0	1	2.5	4.166666666666667
1OSP_1	9	26	36	-2.23979	0	0	1	0	0	1	1	0	1	1	1	1	1	1	2.888888888888889	4.0
1P2C_1	7	23	36	-0.837565	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.2857142857142856	5.142857142857143
1P4B_1	8	20	20	-9.23583	0	0	1	0	0	1	0	0	1	1	1	1	1	1	2.5	2.5
1PG7_4	8	33	91	-6.70385	1	0	1	0	0	0	0	0	1	1	1	1	1	1	4.125	11.375
1PKQ_1	7	29	31	20.1993	1	0	1	0	0	0	0	0	1	1	1	1	0	1	4.142857142857143	4.428571428571429
1PZ5_1	7	31	22	-5.58122	0	1	0	0	0	0	0	0	1	1	1	1	1	1	4.428571428571429	3.142857142857143
1QFU_1	8	30	41	-11.0702	1	0	1	0	0	1	1	0	1	1	1	0	1	0	3.75	5.125
1QFW_1	7	27	27	5.15177	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.857142857142857	3.857142857142857
1QFW_2	6	26	28	5.3739	0	0	0	0	0	0	1	0	1	1	1	1	0	1	4.333333333333333	4.666666666666667
1QGC_1	6	28	21	-2.61094	0	1	0	0	0	0	0	0	1	1	1	1	0	1	4.666666666666667	3.5
1QKZ_1	6	29	27	-3.4028	0	1	0	0	0	0	0	0	1	1	1	1	0	1	4.833333333333333	4.5
1QNZ_1	8	35	38	10.7233	1	1	1	0	0	0	0	0	1	1	1	1	0	1	4.375	4.75
1R0A_1	7	24	29	-5.27645	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.4285714285714284	4.142857142857143
1RJL_1	6	21	29	-5.47941	1	0	0	0	0	0	0	0	1	1	1	1	0	1	3.5	4.833333333333333
1RVF_1	7	26	27	15.8956	1	0	1	0	0	0	0	0	1	1	1	1	0	1	3.7142857142857144	3.857142857142857
1S78_1	8	33	47	-9.51496	1	0	1	0	0	1	0	0	1	1	1	0	1	1	4.125	5.875
1SM3_1	7	17	24	-5.02491	1	0	0	0	0	0	0	0	1	1	1	1	1	1	2.4285714285714284	3.4285714285714284
1SY6_1	7	25	26	-4.76833	0	0	1	0	0	0	0	0	1	1	1	1	1	1	3.5714285714285716	3.7142857142857144
1TET_1	8	26	25	-4.03958	1	1	0	0	0	0	0	0	1	1	1	1	1	1	3.25	3.125
1TQB_1	8	33	43	-5.85602	1	0	0	0	0	1	0	0	1	1	1	1	1	1	4.125	5.375
1TZH_1	7	22	29	-5.20958	0	0	0	0	0	0	1	0	1	1	1	1	1	1	3.142857142857143	4.142857142857143
1TZI_1	3	5	6	-0.157954	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1.6666666666666667	2.0
1UAC_1	8	23	42	-1.3616	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.875	5.25
1UJ3_1	8	28	48	-16.4829	1	0	0	0	1	0	0	0	1	1	1	1	1	1	3.5	6.0
1UWX_1	6	26	19	-3.8028	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	3.1666666666666665
1V7M_1	8	23	41	0.788806	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.875	5.125
1W72_1	7	28	46	-9.83755	1	0	0	0	0	0	1	0	1	1	1	1	0	1	4.0	6.571428571428571
1WEJ_1	7	21	27	-11.6825	0	0	0	0	0	0	1	0	1	1	1	1	1	1	3.0	3.857142857142857
1XGP_1	8	23	40	2.80757	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.875	5.0
1XGQ_1	8	23	43	6.03246	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.875	5.375
1XGR_1	8	24	45	5.90195	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.625
1XGT_1	8	24	46	5.82105	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.75
1XGU_1	8	24	45	7.52239	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.625
1XGY_1	6	21	18	0.305442	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3.5	3.0
1XIW_1	9	41	77	-9.07004	1	0	0	0	0	1	1	0	1	1	1	1	1	1	4.555555555555555	8.555555555555555
1YJD_1	6	21	26	-2.69279	1	0	0	0	0	0	0	0	1	1	1	1	0	1	3.5	4.333333333333333
1YNT_1	7	30	42	11.2016	1	0	0	0	0	0	0	0	1	1	1	1	1	1	4.285714285714286	6.0
1YQV_1	8	25	34	-3.12115	1	1	0	0	0	0	0	0	1	1	1	1	1	1	3.125	4.25
1YY9_1	6	25	38	-3.80051	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4.166666666666667	6.333333333333333
1Z3G_1	7	22	36	-1.15141	1	0	1	0	0	0	0	0	1	1	1	1	0	1	3.142857142857143	5.142857142857143
1ZA3_1	7	33	31	-3.40564	0	0	1	0	1	0	0	0	0	1	1	1	1	1	4.714285714285714	4.428571428571429
1ZTX_1	8	26	35	-6.55475	1	0	1	0	0	0	0	0	1	1	1	1	1	1	3.25	4.375
2A6I_1	7	23	18	57.5043	0	1	0	0	0	1	0	0	1	1	1	0	1	1	3.2857142857142856	2.5714285714285716
2ADF_1	8	22	38	-19.0316	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.75	4.75
2AEP_1	8	26	43	-8.68052	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.25	5.375
2AEQ_1	8	22	40	11.4708	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.75	5.0
2AP2_1	7	33	22	-5.98629	1	0	0	0	0	0	0	0	1	1	1	1	1	1	4.714285714285714	3.142857142857143
2ARJ_1	8	22	36	-2.42308	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.75	4.5
2B1H_1	6	34	27	-8.9773	0	0	0	0	0	0	0	0	1	1	1	1	1	1	5.666666666666667	4.5
2B2X_1	9	26	38	6.84063	1	1	0	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.222222222222222
2B4C_1	5	30	37	-7.05487	1	0	0	0	0	0	0	0	1	1	1	0	0	1	6.0	7.4
2BDN_1	8	24	32	-2.64729	1	0	1	0	0	0	0	0	1	1	1	1	1	1	3.0	4.0
2BRR_1	5	24	17	-2.43827	1	0	0	0	0	0	0	0	1	1	1	0	0	1	4.8	3.4
2CK0_1	6	26	18	4.72182	0	1	0	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	3.0
2CMR_1	8	33	36	-10.0403	1	0	1	0	0	0	0	0	1	1	1	1	1	1	4.125	4.5
2DD8_1	5	27	34	-5.36756	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.4	6.8
2DQC_1	9	26	45	-6.43781	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	5.0
2DQD_1	9	25	46	-1.75693	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.7777777777777777	5.111111111111111
2DQE_1	9	26	42	-6.04855	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.666666666666667
2DQF_1	6	22	34	0.615143	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3.6666666666666665	5.666666666666667
2DQG_1	8	24	43	-6.45368	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	5.375
2DQH_1	9	26	44	0.630318	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.888888888888889
2DQI_1	7	23	39	-6.43217	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.2857142857142856	5.571428571428571
2EH8_1	6	25	22	1.02466	0	0	0	0	0	1	0	0	1	1	1	1	0	1	4.166666666666667	3.6666666666666665
2EIZ_1	10	28	43	4.27112	1	0	1	0	0	1	1	0	1	1	1	1	1	1	2.8	4.3
2EKS_1	10	29	43	2.68647	1	0	1	0	0	1	1	0	1	1	1	1	1	1	2.9	4.3
2FD6_1	5	16	30	-3.06191	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3.2	6.0
2FJG_1	8	26	70	-1.84071	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.25	8.75
2FJH_1	8	28	27	-5.2785	0	1	0	0	0	1	0	0	1	1	1	1	1	1	3.5	3.375
2G5B_1	5	29	20	1.16274	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.8	4.0
2GSI_1	6	25	21	-0.135015	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.166666666666667	3.5
2GSI_2	6	24	22	3.00909	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.0	3.6666666666666665
2GSI_3	6	25	24	-1.002	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.166666666666667	4.0
2H1P_1	5	29	21	-1.43355	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.8	4.2
2H9G_1	8	26	31	-8.89443	1	0	1	0	0	1	1	0	1	1	1	0	1	0	3.25	3.875
2HFG_1	6	30	31	-17.318	0	0	0	0	0	1	0	0	1	1	1	0	1	1	5.0	5.166666666666667
2HH0_1	10	27	30	-0.2668	1	1	1	1	0	1	0	0	1	1	1	1	0	1	2.7	3.0
2HKF_1	8	30	23	-7.41953	1	0	1	0	0	0	0	0	1	1	1	1	1	1	3.75	2.875
2HMI_1	7	23	23	3.00136	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.2857142857142856	3.2857142857142856
2HRP_1	5	25	19	-9.334	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.0	3.8
2I9L_1	7	33	33	-2.69775	1	0	1	0	0	0	0	0	1	1	1	1	0	1	4.714285714285714	4.714285714285714
2IGF_1	6	31	17	-4.18878	0	1	0	0	0	0	0	0	1	1	1	1	0	1	5.166666666666667	2.8333333333333335
2IH3_1	8	26	33	-7.42411	1	0	0	0	1	0	0	0	1	1	1	1	1	1	3.25	4.125
2IPU_1	5	28	17	-10.5364	0	1	0	0	0	0	0	0	0	1	1	1	0	1	5.6	3.4
2J4W_1	5	25	29	-5.36924	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.0	5.8
2J6E_1	7	26	76	4.90719	1	0	0	0	0	0	0	0	1	1	1	1	1	1	3.7142857142857144	10.857142857142858
2J88_1	7	26	29	-13.058	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.7142857142857144	4.142857142857143
2JEL_1	7	31	27	-3.57206	1	0	0	0	0	0	0	0	1	1	1	1	1	1	4.428571428571429	3.857142857142857
2JIX_2	7	21	33	1.75223	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	4.714285714285714
2LTQ_1	5	21	23	8.78126	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4.2	4.6
2LTQ_2	5	21	19	0.459605	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4.2	3.8
2NR6_1	10	27	43	-6.47985	1	1	0	0	0	1	1	0	1	1	1	1	1	1	2.7	4.3
2NY1_1	3	23	21	-13.2675	0	0	0	0	0	0	0	0	0	1	1	0	0	1	7.666666666666667	7.0
2NYY_1	6	30	45	-9.12697	0	0	0	0	0	0	1	0	1	1	1	1	0	1	5.0	7.5
2NZ9_1	6	30	44	-4.99021	0	0	0	0	0	0	1	0	1	1	1	1	0	1	5.0	7.333333333333333
2OQJ_1	5	19	19	-1.20671	0	0	0	0	1	0	0	0	0	1	1	1	0	1	3.8	3.8
2OR9_1	6	28	21	-6.89654	1	0	0	0	0	1	0	0	1	1	1	0	1	0	4.666666666666667	3.5
2OSL_1	5	21	21	-2.15051	0	1	0	0	0	0	0	0	1	1	1	0	0	1	4.2	4.2
2OTU_1	6	31	24	0.823181	0	0	0	0	0	1	0	0	1	1	1	1	0	1	5.166666666666667	4.0
2OZ4_1	8	32	38	-8.86819	1	0	0	0	0	1	0	0	1	1	1	1	1	1	4.0	4.75
2Q8A_1	9	36	56	-11.279	1	0	1	0	0	1	0	0	1	1	1	1	1	1	4.0	6.222222222222222
2Q8B_1	9	36	52	-17.1333	1	0	1	0	0	1	0	0	1	1	1	1	1	1	4.0	5.777777777777778
2QAD_1	4	24	34	-6.49571	0	0	0	0	0	0	0	0	0	1	1	1	0	1	6.0	8.5
2QHR_1	5	35	26	-2.74218	0	0	0	0	0	0	0	0	1	1	1	1	0	1	7.0	5.2
2QQK_1	4	20	27	-8.90406	0	0	0	0	0	0	0	0	0	1	1	1	0	1	5.0	6.75
2QQN_1	4	16	19	-6.42068	0	0	0	0	0	0	1	0	0	0	1	1	0	1	4.0	4.75
2QR0_1	5	19	23	-2.69766	0	0	0	0	0	1	0	0	1	1	1	0	0	1	3.8	4.6
2QSC_1	5	24	17	-13.8386	0	0	0	0	0	0	0	0	1	1	1	1	0	1	4.8	3.4
2R0K_1	6	29	46	1.81235	1	0	1	0	0	0	0	0	1	1	1	0	0	1	4.833333333333333	7.666666666666667
2R0L_1	8	26	48	-12.7188	1	1	1	0	0	0	0	0	1	1	1	1	0	1	3.25	6.0
2R0W_1	5	29	17	-2.75661	0	1	0	0	0	0	0	0	0	1	1	1	0	1	5.8	3.4
2R0Z_1	5	28	16	-4.99208	0	1	0	0	0	0	0	0	0	1	1	1	0	1	5.6	3.2
2R29_1	8	29	38	13.5705	1	0	1	0	0	1	0	0	1	1	1	1	1	0	3.625	4.75
2R4R_1	8	26	32	4.06292	0	0	1	0	0	1	0	0	1	1	1	1	1	1	3.25	4.0
2R56_1	9	29	38	7.34702	1	0	0	0	0	1	1	0	1	1	1	1	1	1	3.2222222222222223	4.222222222222222
2UZI_1	6	24	38	-10.5603	1	0	0	0	0	0	0	0	1	1	1	1	0	1	4.0	6.333333333333333
2V17_1	7	22	15	-3.78687	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.142857142857143	2.142857142857143
2VH5_1	6	22	37	-12.3069	1	0	0	0	0	0	0	0	1	1	1	1	0	1	3.6666666666666665	6.166666666666667
2VIT_1	5	21	34	-3.04491	1	0	0	0	0	0	0	0	1	1	1	0	0	1	4.2	6.8
2VWE_1	9	32	108	-12.9837	1	0	1	0	0	1	0	0	1	1	1	1	1	1	3.5555555555555554	12.0
2VXQ_1	8	27	41	-12.9683	0	0	0	0	1	1	0	0	1	1	1	1	1	1	3.375	5.125
2VXT_1	10	34	47	-13.5175	1	0	1	0	0	1	1	0	1	1	1	1	1	1	3.4	4.7
2W65_1	6	27	18	2.3585	0	1	0	0	0	0	0	0	1	1	1	1	0	1	4.5	3.0
2W9E_1	7	24	38	-3.68538	0	1	0	0	0	0	0	0	1	1	1	1	1	1	3.4285714285714284	5.428571428571429
2WUC_1	7	27	51	-5.4762	1	1	0	0	0	0	0	0	1	1	1	1	0	1	3.857142857142857	7.285714285714286
2XQB_1	7	28	43	-13.7084	1	0	0	0	0	1	0	0	1	1	1	1	1	0	4.0	6.142857142857143
2XQY_1	9	31	50	-12.6879	1	0	1	0	0	1	1	0	1	1	1	1	1	0	3.4444444444444446	5.555555555555555
2XRA_1	7	31	36	-13.025	1	0	0	0	0	1	0	0	1	1	1	1	0	1	4.428571428571429	5.142857142857143
2XTJ_1	6	30	26	-9.3285	0	1	0	0	1	0	0	0	0	1	1	1	0	1	5.0	4.333333333333333
2XWT_1	10	45	58	-9.71807	1	0	1	0	0	1	1	0	1	1	1	1	1	1	4.5	5.8
2XZQ_1	7	21	20	14.7064	0	1	0	0	1	0	0	0	1	1	1	1	0	1	3.0	2.857142857142857
2Y06_1	5	24	23	6.82	0	0	0	0	0	0	0	0	1	1	1	1	0	1	4.8	4.6
2Y07_1	6	23	13	16.4032	0	1	0	0	0	0	0	0	1	1	1	1	0	1	3.8333333333333335	2.1666666666666665
2Y36_1	5	16	16	7.56941	0	1	0	0	0	0	0	0	1	1	1	0	0	1	3.2	3.2
2Y5T_1	6	29	48	-8.15429	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4.833333333333333	8.0
2Y6S_1	9	29	37	-0.654654	1	1	0	0	0	1	0	0	1	1	1	1	1	1	3.2222222222222223	4.111111111111111
2YC1_1	6	26	31	-3.6447	0	1	0	0	0	0	0	0	1	1	1	1	0	1	4.333333333333333	5.166666666666667
2YPV_1	7	31	39	-6.66682	0	0	0	0	0	0	1	0	1	1	1	1	1	1	4.428571428571429	5.571428571428571
2YSS_1	9	26	47	2.57131	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	5.222222222222222
2ZCH_1	6	32	55	-9.20653	1	0	0	0	0	0	0	0	1	1	1	1	0	1	5.333333333333333	9.166666666666666
2ZJS_1	5	22	26	-4.12737	0	0	0	0	0	0	0	0	1	1	1	1	0	1	4.4	5.2
2ZPK_1	6	23	19	-9.33905	1	0	0	0	0	0	0	0	1	1	1	1	0	1	3.8333333333333335	3.1666666666666665
3A67_1	9	26	44	-7.9738	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.888888888888889	4.888888888888889
3A6B_1	9	25	42	-10.6906	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.7777777777777777	4.666666666666667
3A6C_1	9	25	42	-10.1548	1	0	1	0	0	1	0	0	1	1	1	1	1	1	2.7777777777777777	4.666666666666667
